Auteur;Destinataire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kalenberg, Ángel | Aínsa, Fernando (1937-.…);Aínsa, Fernando (1937-.…) | Kalenberg, Ángel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
García Capurro, Federico;Aínsa, Fernando (1937-....);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ricci, Julio (1920-1995);Aínsa, Fernando (1937-....);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sanguinetti, Julio María (1936-.…);Aínsa, Fernando (1937-....);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aratanha, Mario de;Aínsa, Fernando (1937-....);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Non déterminé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Non déterminé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Liscano, Juan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Marino, Salvador Mario;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Solari, Ignacio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Belarra, Nell;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Jara, Enrique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Natali, Joao Baptista;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Macías, Luis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Quiñonero, Juan Pedro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Calvo Hernando, Manuel (1923-2012);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Santos, Mario Nelson | Aínsa, Fernando (1937-.…);Aínsa, Fernando (1937-.…) | Santos, Mario Nelson;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Mercader, Antonio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Non déterminé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Non déterminé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Belarra, Nell;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Non déterminé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Non déterminé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Non déterminé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Non déterminé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Non déterminé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Jáureguy, Julio César;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Milla, Benito (1918-1987);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);García Robles, Hugo (1931-2013);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
