authorSource,authorDest,score
"b'Suma, MP'","b'Seetharam, G'",2.861353116146786
"b'Suma, MP'","b'Rousseau, R'",2.861353116146786
"b'Suma, MP'","b'Neelameghan, A'",2.861353116146786
"b'Suma, MP'","b'Egghe, L'",2.861353116146786
"b'Sudhakar, P'","b'Pal, C'",2.861353116146786
"b'Sudhakar, P'","b'Kretschmer, H'",2.861353116146786
"b'Sudhakar, P'","b'Arora, J'",2.861353116146786
"b'Solorio-lagunas, J'","b'Rodea-castro, IP'",2.861353116146786
"b'Solorio-lagunas, J'","b'Narvaezberthelemot, N'",2.861353116146786
"b'Solorio-lagunas, J'","b'Mijangos-nolasco, A'",2.861353116146786
"b'Solari, A'","b'Legentil, M'",2.861353116146786
"b'Solari, A'","b'Jeannin, P'",2.861353116146786
"b'Solari, A'","b'Delooze, MA'",2.861353116146786
"b'Solari, A'","b'Coronini, R'",2.861353116146786
"b'Smith, AG'","b'Shaw, D'",2.861353116146786
"b'Smith, AG'","b'Hysen, K'",2.861353116146786
"b'Singh, SP'","b'Pal, C'",2.861353116146786
"b'Singh, SP'","b'Kretschmer, H'",2.861353116146786
"b'Singh, SP'","b'Arora, J'",2.861353116146786
"b'Shaw, D'","b'Li, XM'",2.861353116146786
"b'Shaw, D'","b'Hysen, K'",2.861353116146786
"b'Shaw, D'","b'Cothey, V'",2.861353116146786
"b'Sharma, P'","b'Nagpaul, PS'",2.861353116146786
"b'Shama, G'","b'Peck, C'",2.861353116146786
"b'Shama, G'","b'Johnson, B'",2.861353116146786
"b'Shama, G'","b'Ahmed, T'",2.861353116146786
"b'Sehringer, R'","b'Schwechheimer, H'",2.861353116146786
"b'Sehringer, R'","b'Glanzel, W'",2.861353116146786
"b'Seetharam, G'","b'Rousseau, R'",2.861353116146786
"b'Seetharam, G'","b'Neelameghan, A'",2.861353116146786
"b'Seetharam, G'","b'Egghe, L'",2.861353116146786
"b'Schwechheimer, H'","b'Glanzel, W'",2.861353116146786
"b'Rousseau, R'","b'Neelameghan, A'",2.861353116146786
"b'Rodea-castro, IP'","b'Mijangos-nolasco, A'",2.861353116146786
"b'Rodea-castro, IP'","b'Magde, B'",2.861353116146786
"b'Rey, J'","b'Ortega, C'",2.861353116146786
"b'Rey, J'","b'Albert, A'",2.861353116146786
"b'Phornsadja, K'","b'Cronin, B'",2.861353116146786
"b'Peck, C'","b'Hellgardt, K'",2.861353116146786
"b'Pastor, A'","b'Moreno, L'",2.861353116146786
"b'Pastor, A'","b'Galvez, L'",2.861353116146786
"b'Pastor, A'","b'Bernal, G'",2.861353116146786
"b'Pal, C'","b'Kretschmer, H'",2.861353116146786
"b'Osareh, F'","b'Markusova, VA'",2.861353116146786
"b'Osareh, F'","b'Hood, WW'",2.861353116146786
"b'Osareh, F'","b'Davis, M'",2.861353116146786
"b'Ortega, C'","b'Martin-sempere, MJ'",2.861353116146786
"b'Ortega, C'","b'Albert, A'",2.861353116146786
"b'Neelameghan, A'","b'Egghe, L'",2.861353116146786
"b'Narvaezberthelemot, N'","b'Mijangos-nolasco, A'",2.861353116146786
