authorSource,authorDest,score
"b'Pepe, A'","b'Bollen, J'",4.19180654857877
"b'Nygaard, S'","b'Iversen, EJ'",4.19180654857877
"b'Nygaard, S'","b'Gulbrandsen, M'",4.19180654857877
"b'Noyons, ECM'","b'Butler, L'",4.19180654857877
"b'Noyons, ECM'","b'Anegon, FD'",4.19180654857877
"b'Nicholas, D'","b'Frandsen, TF'",4.19180654857877
"b'Mendez-vasquez, RI'","b'Cervello, R'",4.19180654857877
"b'Lopez-illescas, C'","b'Butler, L'",4.19180654857877
"b'Li, XM'","b'Kretschmer, H'",4.19180654857877
"b'Leydesdorff, L'","b'Glanzel, W'",4.19180654857877
"b'Leta, J'","b'Kurtenbach, E'",4.19180654857877
"b'Larsen, B'","b'Borlund, P'",4.19180654857877
"b'Lang, PB'","b'Kurtenbach, E'",4.19180654857877
"b'Koley, S'","b'Biswas, BC'",4.19180654857877
"b'Ingwersen, P'","b'Borlund, P'",4.19180654857877
"b'Huang, Y'","b'Ho, YS'",4.19180654857877
"b'Glanzel, W'","b'De La Potterie, BV'",4.19180654857877
"b'Glanzel, W'","b'Cincera, M'",4.19180654857877
"b'De Filippo, D'","b'Bordons, M'",4.19180654857877
"b'Zsindely, S'","b'Glanzel, W'",3.321928094887362
"b'Zador, E'","b'Glanzel, W'",3.321928094887362
"b'Wanless, S'","b'Harzing, AW'",3.321928094887362
"b'Veugelers, R'","b'Van Zeebroeck, N'",3.321928094887362
"b'Veugelers, R'","b'Han, W'",3.321928094887362
"b'Vasudevan, R'","b'Girji, RM'",3.321928094887362
"b'Varshavskii, AE'","b'Ivanov, VV'",3.321928094887362
"b'Vanleeuwen, TN'","b'Schmoch, U'",3.321928094887362
"b'Van Zeebroeck, N'","b'Cincera, M'",3.321928094887362
"b'Van Looy, B'","b'Jonkers, K'",3.321928094887362
"b'Shi, F'","b'Heinz, M'",3.321928094887362
"b'Shi, F'","b'Havemann, F'",3.321928094887362
"b'Shapira, P'","b'Bauer, G'",3.321928094887362
"b'Senker, J'","b'Bauer, G'",3.321928094887362
"b'Schmoch, U'","b'Costas, R'",3.321928094887362
"b'Schmoch, U'","b'Bordons, M'",3.321928094887362
"b'Scharnhorst, A'","b'Leydesdorff, L'",3.321928094887362
"b'Savanur, K'","b'Girji, RM'",3.321928094887362
"b'Sanz, E'","b'Costas, R'",3.321928094887362
"b'Sahoo, BB'","b'Liu, YX'",3.321928094887362
"b'Rousseau, R'","b'Heinz, M'",3.321928094887362
"b'Rousseau, R'","b'Havemann, F'",3.321928094887362
"b'Redpath, S'","b'Harzing, AW'",3.321928094887362
"b'Perianes-rodriguez, A'","b'Lopez-illescas, C'",3.321928094887362
"b'Pau, MRD'","b'Costas, R'",3.321928094887362
"b'Ovalle-perandones, MA'","b'Lopez-illescas, C'",3.321928094887362
"b'Oppenheim, C'","b'Lariviere, V'",3.321928094887362
"b'Oppenheim, C'","b'Archambault, E'",3.321928094887362
"b'Olmeda-gomez, C'","b'Lopez-illescas, C'",3.321928094887362
"b'Marquiss, M'","b'Harzing, AW'",3.321928094887362
"b'Manjunath, M'","b'Girji, RM'",3.321928094887362
"b'Libkind, I'","b'Ivanov, VV'",3.321928094887362
"b'Leydesdorff, L'","b'Lambiotte, R'",3.321928094887362
"b'Leydesdorff, L'","b'Kluver, R'",3.321928094887362
"b'Leydesdorff, L'","b'Kim, H'",3.321928094887362
"b'Leydesdorff, L'","b'Ausloos, M'",3.321928094887362
"b'Lariviere, V'","b'Dhiensa, R'",3.321928094887362
"b'Kuhlmann, S'","b'Bauer, G'",3.321928094887362
"b'Kluver, R'","b'Kim, H'",3.321928094887362
"b'Kluver, R'","b'Hong, HD'",3.321928094887362
"b'Kim, H'","b'Hong, HD'",3.321928094887362
"b'Jonkers, K'","b'Debackere, K'",3.321928094887362
"b'Jonkers, K'","b'Callaert, J'",3.321928094887362
"b'Jansz, CNM'","b'Ivanov, VV'",3.321928094887362
"b'Han, W'","b'Cincera, M'",3.321928094887362
"b'Gomez-crisostomo, R'","b'Faba-perez, C'",3.321928094887362
"b'Glanzel, W'","b'Diospatonyi, I'",3.321928094887362
"b'Faba-perez, C'","b'Espinosa-calvo, ME'",3.321928094887362
"b'Faba-perez, C'","b'Crisostomo, RG'",3.321928094887362
"b'Dhiensa, R'","b'Archambault, E'",3.321928094887362
"b'De Pedro-cuesta, J'","b'Costas, R'",3.321928094887362
"b'Zimmerman, E'","b'Lin, A'",2.861353116146786
"b'Zimmerman, E'","b'Levene, M'",2.861353116146786
"b'Zimmerman, E'","b'Echermane, A'",2.861353116146786
"b'You, J'","b'Shaw, D'",2.861353116146786
"b'You, J'","b'Kipp, MEI'",2.861353116146786
"b'You, J'","b'Glanzel, W'",2.861353116146786
"b'You, J'","b'Gao, YJ'",2.861353116146786
"b'Wouters, P'","b'Rowlands, I'",2.861353116146786
"b'Wouters, P'","b'Rousseau, R'",2.861353116146786
"b'Wouters, P'","b'Nicolaisen, J'",2.861353116146786
"b'Wouters, P'","b'Nebelong-bonnevie, E'",2.861353116146786
"b'Wald, A'","b'Van Raan, AFJ'",2.861353116146786
"b'Vasconcellos, JP'","b'Leta, J'",2.861353116146786
"b'Vasconcellos, JP'","b'Chaimovich, H'",2.861353116146786
"b'Vanleeuwen, TN'","b'Iribarren-maestro, I'",2.861353116146786
"b'Vanhooydonk, G'","b'Marti-lahera, Y'",2.861353116146786
"b'Vanhooydonk, G'","b'Dorta-contreras, AJ'",2.861353116146786
"b'Van Raan, AFJ'","b'Schubert, T'",2.861353116146786
"b'Van Raan, AFJ'","b'Jansen, D'",2.861353116146786
"b'Van Raan, AFJ'","b'Iribarren-maestro, I'",2.861353116146786
"b'Van Raan, AFJ'","b'Franke, K'",2.861353116146786
"b'Torricella-morales, RG'","b'Marti-lahera, Y'",2.861353116146786
"b'Torricella-morales, RG'","b'Dorta-contreras, AJ'",2.861353116146786
"b'Thelwall, M'","b'Panzarasa, P'",2.861353116146786
"b'Thelwall, M'","b'Cantu, AG'",2.861353116146786
"b'Takahashi, K'","b'Rivett, DA'",2.861353116146786
"b'Takahashi, K'","b'Leggat, PA'",2.861353116146786
"b'Takahashi, K'","b'Hazelton, M'",2.861353116146786
"b'Shaw, D'","b'Kipp, MEI'",2.861353116146786
"b'Shaw, D'","b'Glanzel, W'",2.861353116146786
"b'Shaw, D'","b'Gao, YJ'",2.861353116146786
"b'Scharnhorst, A'","b'Panzarasa, P'",2.861353116146786
"b'Scharnhorst, A'","b'Cantu, AG'",2.861353116146786
"b'Rowlands, I'","b'Nicolaisen, J'",2.861353116146786
"b'Rowlands, I'","b'Nebelong-bonnevie, E'",2.861353116146786
"b'Rousseau, R'","b'Nicolaisen, J'",2.861353116146786
"b'Rousseau, R'","b'Nebelong-bonnevie, E'",2.861353116146786
"b'Rivett, DA'","b'Leggat, PA'",2.861353116146786
"b'Rivett, DA'","b'Hazelton, M'",2.861353116146786
"b'Rivett, DA'","b'Gehanno, JF'",2.861353116146786
"b'Prieto, JA'","b'Plaza, LM'",2.861353116146786
"b'Prieto, JA'","b'Llamas, G'",2.861353116146786
"b'Prieto, JA'","b'Albert, A'",2.861353116146786
"b'Plaza, LM'","b'Ortega, JL'",2.861353116146786
"b'Plaza, LM'","b'Llamas, G'",2.861353116146786
"b'Panzarasa, P'","b'Hellsten, I'",2.861353116146786
"b'Panzarasa, P'","b'Ausloos, M'",2.861353116146786
"b'Ortega, JL'","b'Llamas, G'",2.861353116146786
"b'Ortega, JL'","b'Albert, A'",2.861353116146786
"b'Nicolaisen, J'","b'Nebelong-bonnevie, E'",2.861353116146786
"b'Moreno, L'","b'Iribarren-maestro, I'",2.861353116146786
"b'Marti-lahera, Y'","b'Arencibia-jorge, R'",2.861353116146786
"b'Llamas, G'","b'Albert, A'",2.861353116146786
"b'Lin, A'","b'Glanzel, W'",2.861353116146786
"b'Lin, A'","b'Echermane, A'",2.861353116146786
"b'Levene, M'","b'Glanzel, W'",2.861353116146786
"b'Levene, M'","b'Echermane, A'",2.861353116146786
"b'Leta, J'","b'Furusawa, L'",2.861353116146786
"b'Leta, J'","b'Barbati, AD'",2.861353116146786
"b'Leggat, PA'","b'Hazelton, M'",2.861353116146786
"b'Leggat, PA'","b'Gehanno, JF'",2.861353116146786
"b'Landstrom, H'","b'Glenisson, P'",2.861353116146786
"b'Landstrom, H'","b'Glanzel, W'",2.861353116146786
